lipid_system,property,chain,type,T_bin,n_values,mean,median,std,min,max,spread_pct,n_sources,n_force_fields,unit
POPC:CHOL:SAPI25 (67:75:8),area_per_lipid,-,computational,25C,1,41.76,41.76,0.0,41.76,41.76,0.0,1,1,A^2
POPC:CHOL:SAPI25 (97:45:8),area_per_lipid,-,computational,25C,1,46.34,46.34,0.0,46.34,46.34,0.0,1,1,A^2
POPC:CHOL:SM16 (51:26:51),area_per_lipid,-,computational,20C,1,46.19,46.19,0.0,46.19,46.19,0.0,1,1,A^2
POPC:DHMDMAB (10:3),area_per_lipid,-,computational,40C,1,60.97,60.97,0.0,60.97,60.97,0.0,1,1,A^2
POPC:DHMDMAB (10:7),area_per_lipid,-,computational,40C,2,55.455,55.455,0.175,55.28,55.63,0.6,2,2,A^2
POPC:DHMDMAB (1:1),area_per_lipid,-,computational,40C,2,50.205,50.205,4.665,45.54,54.87,18.6,2,2,A^2
POPC:DHMDMAB (25:11),area_per_lipid,-,computational,40C,1,60.68,60.68,0.0,60.68,60.68,0.0,1,1,A^2
POPC:DHMDMAB (25:22),area_per_lipid,-,computational,40C,1,61.93,61.93,0.0,61.93,61.93,0.0,1,1,A^2
POPC:DHMDMAB (25:3),area_per_lipid,-,computational,40C,2,62.46,62.46,0.05,62.41,62.51,0.2,2,2,A^2
POPC:DHMDMAB (25:7),area_per_lipid,-,computational,40C,2,58.98,58.98,0.37,58.61,59.35,1.3,2,2,A^2
POPC:DHMDMAB (50:21),area_per_lipid,-,computational,40C,2,58.165,58.165,0.685,57.48,58.85,2.4,2,2,A^2
POPC:DOPE (1:1),area_per_lipid,-,computational,25C,1,66.71,66.71,0.0,66.71,66.71,0.0,1,1,A^2
POPC:GB3 (19:1),area_per_lipid,-,computational,35C,4,63.7575,63.765,0.0164,63.73,63.77,0.1,3,1,A^2
POPC:PAzePCdeprot (45:19),area_per_lipid,-,computational,25C,1,64.33,64.33,0.0,64.33,64.33,0.0,1,1,A^2
POPC:PAzePCprot (45:19),area_per_lipid,-,computational,25C,1,66.39,66.39,0.0,66.39,66.39,0.0,1,1,A^2
POPC:POPE (1:1),area_per_lipid,-,computational,25C,4,59.6325,59.275,3.4981,55.19,64.79,16.1,4,4,A^2
POPC:POPE:POPS:POPI:CER180:CHOL (67:30:7:13:5:6),area_per_lipid,-,computational,35C,1,58.52,58.52,0.0,58.52,58.52,0.0,1,1,A^2
POPC:POPE:POPS:SAPI24:SM16:CHOL (82:58:28:6:59:152),area_per_lipid,-,computational,35C,1,43.28,43.28,0.0,43.28,43.28,0.0,1,1,A^2
POPC:POPG (175:44),area_per_lipid,-,computational,25C,3,58.1567,56.52,2.4214,56.37,61.58,9.0,3,1,A^2
POPC:POPG (1:1),area_per_lipid,-,computational,25C,7,57.9314,57.4,3.334,53.21,62.34,15.8,5,3,A^2
POPC:POPG (7:3),area_per_lipid,-,computational,35C,2,59.67,59.67,0.39,59.28,60.06,1.3,2,1,A^2
POPC:POPS (13:3),area_per_lipid,-,computational,35C,2,55.145,55.145,1.695,53.45,56.84,6.1,2,1,A^2
POPC:POPS (1:1),area_per_lipid,-,computational,25C,2,59.6,59.6,2.48,57.12,62.08,8.3,1,1,A^2
POPC:POPS (51:13),area_per_lipid,-,computational,35C,3,55.65,56.07,0.7549,54.59,56.29,3.1,3,1,A^2
POPC:POPS (5:1),area_per_lipid,-,computational,25C,10,59.119,59.115,1.4504,57.05,62.33,8.9,3,3,A^2
POPC:POPS:CES (?),area_per_lipid,-,computational,35C,1,60.66,60.66,0.0,60.66,60.66,0.0,1,1,A^2
POPC:SAPI25 (71:4),area_per_lipid,-,computational,25C,1,63.42,63.42,0.0,63.42,63.42,0.0,1,1,A^2
POPC:SAPI25 (9:1),area_per_lipid,-,computational,25C,1,63.4,63.4,0.0,63.4,63.4,0.0,1,1,A^2
POPC:TLCL_0H (22:3),area_per_lipid,-,computational,25C,1,71.78,71.78,0.0,71.78,71.78,0.0,1,1,A^2
POPC:TLCL_0H (47:3),area_per_lipid,-,computational,30C,1,67.89,67.89,0.0,67.89,67.89,0.0,1,1,A^2
